epoch,lambda_max,lambda_epoch,train_size_loss,train_bin_loss,train_size_acc,train_bin_acc,test_size_acc
1,0.0,0.0,0.6964223599433899,1.0952870798110963,0.4935897435897436,0.33205128205128204,0.5666666666666667
2,0.0,0.0,0.6935277843475341,1.0854184246063232,0.5089743589743589,0.4217948717948718,0.5333333333333333
3,0.0,0.0,0.6936187505722046,1.0757765579223633,0.5102564102564102,0.46923076923076923,0.5666666666666667
4,0.0,0.0,0.6905112481117248,1.0692799425125121,0.5576923076923077,0.5089743589743589,0.5333333333333333
5,0.0,0.0,0.6905904674530029,1.0612182664871215,0.5256410256410257,0.5064102564102564,0.5333333333333333
6,0.0,0.0,0.6901744437217713,1.0498896026611328,0.5564102564102564,0.5102564102564102,0.5666666666666667
7,0.0,0.0,0.686672146320343,1.0386801505088805,0.5756410256410256,0.5166666666666667,0.4666666666666667
8,0.0,0.0,0.6869194412231445,1.0340883469581603,0.5717948717948718,0.517948717948718,0.5666666666666667
9,0.0,0.0,0.685830934047699,1.0154090738296508,0.5641025641025641,0.5346153846153846,0.5333333333333333
10,0.0,0.0,0.687049286365509,1.007930130958557,0.5551282051282052,0.5461538461538461,0.4666666666666667
11,0.0,0.0,0.6847583079338073,1.001105444431305,0.5628205128205128,0.5256410256410257,0.5333333333333333
12,0.0,0.0,0.6840925741195679,0.990278902053833,0.5769230769230769,0.5474358974358975,0.4666666666666667
13,0.0,0.0,0.6828239846229553,0.9750324368476868,0.5628205128205128,0.5371794871794872,0.5
14,0.0,0.0,0.6786873722076416,0.9733067226409912,0.5833333333333334,0.5346153846153846,0.5
15,0.0,0.0,0.6817235851287842,0.9738575911521912,0.5743589743589743,0.55,0.5
16,0.0,0.0,0.6786712694168091,0.9585502290725708,0.5820512820512821,0.5435897435897435,0.5
17,0.0,0.0,0.6769204044342041,0.9455914378166199,0.5705128205128205,0.5615384615384615,0.5
18,0.0,0.0,0.6761707186698913,0.9506115913391113,0.5884615384615385,0.5474358974358975,0.5
19,0.0,0.0,0.6761792659759521,0.9419929218292237,0.6115384615384616,0.5782051282051283,0.4666666666666667
20,0.0,0.0,0.6755086278915405,0.9333307981491089,0.6012820512820513,0.5756410256410256,0.43333333333333335
